Detector,Descriptor,Matched Key Points
AKAZE,AKAZE,1259
AKAZE,BRIEF,1266
AKAZE,BRISK,1215
AKAZE,FREAK,1187
AKAZE,ORB,1182
AKAZE,SIFT,1270
BRISK,BRIEF,1704
BRISK,BRISK,1570
BRISK,FREAK,1524
BRISK,ORB,1514
BRISK,SIFT,1646
FAST,BRIEF,1099
FAST,BRISK,899
FAST,FREAK,878
FAST,ORB,1071
FAST,SIFT,1046
HARRIS,BRIEF,173
HARRIS,BRISK,142
HARRIS,FREAK,144
HARRIS,ORB,162
HARRIS,SIFT,163
ORB,BRIEF,545
ORB,BRISK,751
ORB,FREAK,420
ORB,ORB,763
ORB,SIFT,763
SHITOMASI,BRIEF,944
SHITOMASI,BRISK,767
SHITOMASI,FREAK,768
SHITOMASI,ORB,908
SHITOMASI,SIFT,927
SIFT,BRIEF,702
SIFT,BRISK,592
SIFT,FREAK,593
SIFT,SIFT,800
