Detector,Descritptor,Detector Time,Descriptor Time,Time per KPts (in ms)
FAST,BRIEF,9.64579,8.30271,0.0163317
FAST,ORB,9.21656,11.3336,0.0191878
FAST,BRISK,9.11802,19.3425,0.031658
SHITOMASI,BRIEF,120.316,7.08443,0.134958
SHITOMASI,ORB,118.285,10.8621,0.142232
ORB,BRISK,91.5516,16.0574,0.143288
ORB,BRIEF,80.031,7.43571,0.160489
ORB,ORB,79.9907,50.9421,0.171603
SHITOMASI,BRISK,121.36,15.8871,0.17894
FAST,SIFT,9.22888,284.617,0.280923
BRISK,BRIEF,473.67,11.6626,0.284819
SHITOMASI,SIFT,126.756,174.714,0.325211
BRISK,BRISK,477.034,34.67,0.325926
BRISK,ORB,475.067,49.2397,0.346305
FAST,FREAK,10.0877,487.791,0.56706
BRISK,FREAK,478.648,513.571,0.651062
BRISK,SIFT,473.182,671.884,0.695666
SHITOMASI,FREAK,122.951,476.712,0.780812
AKAZE,BRIEF,1065.27,9.37725,0.848856
AKAZE,BRISK,1054.8,21.109,0.885519
AKAZE,ORB,1073.55,32.0102,0.935329
HARRIS,BRIEF,158.07,3.93509,0.936444
HARRIS,ORB,160.192,9.07693,1.04487
AKAZE,SIFT,1046.2,348.52,1.09821
ORB,SIFT,95.7876,753.964,1.1137
HARRIS,BRISK,164.125,5.88598,1.19726
AKAZE,FREAK,1055.71,494.058,1.30562
ORB,FREAK,80.8091,480.623,1.33674
AKAZE,AKAZE,1066.8,980.821,1.62638
HARRIS,SIFT,161.967,152.81,1.93114
SIFT,BRIEF,1621.17,7.89632,2.32061
SIFT,BRISK,1637.59,17.8737,2.79639
SIFT,SIFT,1577.69,1110.43,3.36015
SIFT,FREAK,1616.85,491.257,3.55499
HARRIS,FREAK,160.384,476.499,4.4228
