Detector,Descritptor,Detector Time,Descriptor Time,Time per KPts (in ms)
FAST,BRIEF,9.91528,8.77871,0.0210755
FAST,ORB,9.67359,11.1214,0.0239298
FAST,BRISK,9.43521,19.2895,0.0365454
SHITOMASI,BRIEF,118.825,6.55253,0.153086
SHITOMASI,ORB,119.829,10.2433,0.168488
ORB,BRISK,100.403,16.0409,0.178321
ORB,BRIEF,81.4215,6.66606,0.194025
SHITOMASI,BRISK,124.406,15.9976,0.203484
ORB,ORB,79.5181,55.2232,0.250915
FAST,SIFT,10.1862,291.338,0.288264
SHITOMASI,SIFT,130.495,181.418,0.336476
BRISK,BRIEF,479.067,11.8138,0.358569
BRISK,BRISK,477.174,34.7444,0.384323
BRISK,ORB,477.725,49.0623,0.54308
BRISK,SIFT,475.52,670.08,0.693043
FAST,FREAK,9.0646,491.202,0.731384
BRISK,FREAK,476.125,512.466,0.884249
AKAZE,BRISK,1064.35,21.1353,0.968322
AKAZE,BRIEF,1056.85,8.97136,0.975131
SHITOMASI,FREAK,123.058,485.647,1.06046
AKAZE,SIFT,1031.96,334.047,1.07391
ORB,SIFT,107.932,758.901,1.13164
AKAZE,ORB,1027.12,31.9584,1.14619
HARRIS,BRIEF,158.622,4.05656,1.15375
HARRIS,ORB,162.084,9.42444,1.18282
HARRIS,BRISK,171.015,5.94866,1.46251
AKAZE,FREAK,1052.92,487.213,1.57639
ORB,FREAK,82.958,486.226,1.6403
AKAZE,AKAZE,1077.42,992.495,1.77371
HARRIS,SIFT,169.071,158.313,2.00849
SIFT,BRIEF,1631.38,8.07127,2.74616
SIFT,BRISK,1638.14,17.9315,3.03867
SIFT,SIFT,1624.24,1231.67,3.55656
SIFT,FREAK,1624.5,498.257,4.17866
HARRIS,FREAK,160.268,485.213,5.24782
