Detector,Descritptor,Detector Time,Descriptor Time,Time per KPts (in ms)
AKAZE,AKAZE,1057.34,952.729,1.34814
AKAZE,BRIEF,1072.28,9.18675,0.725328
AKAZE,BRISK,1055.57,21.1251,0.722129
AKAZE,FREAK,1056.77,492.274,1.03893
AKAZE,ORB,1058.16,32.4951,0.731489
AKAZE,SIFT,1027.63,332.818,0.912441
BRISK,BRIEF,478.825,11.7993,0.195624
BRISK,BRISK,474.172,34.1812,0.202693
BRISK,FREAK,473.084,508.407,0.421965
BRISK,ORB,474.161,48.6876,0.208472
BRISK,SIFT,478.08,675.341,0.459897
FAST,BRIEF,9.46078,10.4438,0.014766
FAST,BRISK,9.10991,19.4074,0.0211553
FAST,FREAK,9.15039,486.238,0.367498
FAST,ORB,9.59554,11.5758,0.0157057
FAST,SIFT,9.08918,282.192,0.216084
HARRIS,BRIEF,163.302,3.7697,0.780707
HARRIS,BRISK,162.903,5.86656,0.788641
HARRIS,FREAK,169.831,474.597,3.01135
HARRIS,ORB,163.337,9.23375,0.806404
HARRIS,SIFT,162.099,160.991,1.50977
ORB,BRIEF,85.1518,6.86793,0.0890801
ORB,BRISK,101.192,15.9733,0.123332
ORB,FREAK,82.154,478.506,1.02124
ORB,ORB,80.2363,52.5773,0.128571
ORB,SIFT,93.6034,764.7,0.830884
SHITOMASI,BRIEF,118.58,8.09411,0.11872
SHITOMASI,BRISK,127.199,15.9937,0.134201
SHITOMASI,FREAK,122.933,483.507,0.56836
SHITOMASI,ORB,124.498,11.5125,0.12747
SHITOMASI,SIFT,129.303,184.228,0.293844
SIFT,BRIEF,1627.8,8.25722,1.30989
SIFT,BRISK,1628.99,18.0882,1.31977
SIFT,FREAK,1607.73,493.175,1.69565
SIFT,SIFT,1594.46,1073.48,2.13607
